DNR_ID,site,date,species,concentration
02_0003,204,2020-05-13,cyclopoid,14.80894682
02_0003,204,2020-06-04,cyclopoid,5.347675239
02_0003,204,2020-06-25,cyclopoid,4.826619703
02_0003,204,2020-07-15,cyclopoid,3.5194102
02_0003,204,2020-07-31,cyclopoid,16.91145161
02_0003,204,2020-08-18,cyclopoid,5.429947166
02_0003,204,2020-09-04,cyclopoid,3.702236704
02_0003,204,2020-09-24,cyclopoid,5.347675239
62_0002,207,2020-05-13,cyclopoid,3.784508631
62_0002,207,2020-06-04,cyclopoid,4.936315605
62_0002,207,2020-06-24,cyclopoid,4.257572209
62_0002,207,2020-07-15,cyclopoid,3.841641913
62_0002,207,2020-07-31,cyclopoid,9.049911943
62_0002,207,2020-08-18,cyclopoid,6.398927636
62_0002,207,2020-09-04,cyclopoid,4.144067422
62_0002,207,2020-09-24,cyclopoid,2.468157803
62_0047,201,2020-04-15,cyclopoid,4.284234408
62_0047,201,2020-05-05,cyclopoid,12.67597094
62_0047,201,2020-05-20,cyclopoid,8.129494762
62_0047,201,2020-06-11,cyclopoid,52.69516908
62_0047,201,2020-07-01,cyclopoid,63.04771987
62_0047,201,2020-07-23,cyclopoid,66.64026067
62_0047,201,2020-08-06,cyclopoid,24.68157803
62_0047,201,2020-08-26,cyclopoid,19.0139564
62_0047,201,2020-09-11,cyclopoid,39.49052484
62_0047,201,2020-10-09,cyclopoid,11.51806975
62_0054,101,2020-07-17,cyclopoid,2.952648038
62_0054,101,2020-04-13,cyclopoid,17.48449843
62_0054,101,2020-05-04,cyclopoid,31.11859452
62_0054,101,2020-05-18,cyclopoid,14.56213104
62_0054,101,2020-06-10,cyclopoid,2.031333049
62_0054,101,2020-06-25,cyclopoid,3.656530078
62_0054,101,2020-08-05,cyclopoid,6.801145945
62_0054,101,2020-08-20,cyclopoid,6.526906189
62_0054,101,2020-09-10,cyclopoid,10.02933964
62_0054,101,2020-10-08,cyclopoid,3.016637314
62_0055,201,2020-04-10,cyclopoid,4.162567723
62_0055,201,2020-05-01,cyclopoid,7.685569157
62_0055,201,2020-05-17,cyclopoid,7.219361572
62_0055,201,2020-05-21,cyclopoid,6.513194201
62_0055,201,2020-05-26,cyclopoid,7.130233652
62_0055,201,2020-06-26,cyclopoid,12.76586063
62_0055,201,2020-07-14,cyclopoid,17.23792751
62_0055,201,2020-08-03,cyclopoid,15.86672873
62_0055,201,2020-08-20,cyclopoid,7.404473408
62_0055,201,2020-09-06,cyclopoid,39.13793087
62_0055,201,2020-09-09,cyclopoid,2.193918047
62_0055,201,2020-10-05,cyclopoid,2.399597864
62_0055,201,2020-10-23,cyclopoid,2.193918047
62_0057,401,2020-05-07,cyclopoid,19.60814254
62_0057,401,2020-06-02,cyclopoid,3.694401282
62_0057,401,2020-06-15,cyclopoid,1.982361664
62_0057,401,2020-07-02,cyclopoid,3.135474542
62_0057,401,2020-07-22,cyclopoid,2.139070096
62_0057,401,2020-08-07,cyclopoid,11.65518962
62_0057,401,2020-08-27,cyclopoid,30.85197253
62_0057,401,2020-09-17,cyclopoid,5.656194964
62_0061,208,2020-05-08,cyclopoid,5.339839817
62_0061,208,2020-05-28,cyclopoid,9.982327113
62_0061,208,2020-06-16,cyclopoid,3.264758998
62_0061,208,2020-07-06,cyclopoid,7.890269547
62_0061,208,2020-07-24,cyclopoid,8.814849295
62_0061,208,2020-08-12,cyclopoid,4.008119508
62_0061,208,2020-09-02,cyclopoid,6.699285464
62_0061,208,2020-09-15,cyclopoid,9.87263121
62_0067,202,2020-05-27,cyclopoid,7.927487799
62_0067,202,2020-06-12,cyclopoid,2.312755274
62_0067,202,2020-06-29,cyclopoid,2.501066573
62_0067,202,2020-07-21,cyclopoid,7.774697078
62_0067,202,2020-08-10,cyclopoid,7.313060156
62_0067,202,2020-08-22,cyclopoid,7.054817719
62_0067,202,2020-09-17,cyclopoid,4.505367417
62_0067,202,2020-05-06,cyclopoid,13.90787333
62_0075,202,2020-05-08,cyclopoid,13.05381238
62_0075,202,2020-05-28,cyclopoid,20.04692615
62_0075,202,2020-06-16,cyclopoid,22.27512417
62_0075,202,2020-07-06,cyclopoid,9.25559176
62_0075,202,2020-07-24,cyclopoid,8.912792065
62_0075,202,2020-08-12,cyclopoid,17.55134437
62_0075,202,2020-09-02,cyclopoid,20.29374193
62_0075,202,2020-09-15,cyclopoid,11.51806975
62_0078,101,2020-05-06,cyclopoid,6.033274628
62_0078,101,2020-05-27,cyclopoid,1.450423598
62_0078,101,2020-06-15,cyclopoid,5.880483907
62_0078,101,2020-07-02,cyclopoid,7.898104968
62_0078,101,2020-07-22,cyclopoid,4.91986122
62_0078,101,2020-08-07,cyclopoid,7.541593286
62_0078,101,2020-08-27,cyclopoid,9.708087357
62_0078,101,2020-09-17,cyclopoid,3.917710798
62_0083,204,2020-05-06,cyclopoid,8.227192675
62_0083,204,2020-05-27,cyclopoid,34.91072092
62_0083,204,2020-06-12,cyclopoid,24.68157803
62_0083,204,2020-07-21,cyclopoid,10.23828422
62_0083,204,2020-08-10,cyclopoid,5.941861377
62_0083,204,2020-08-24,cyclopoid,3.393716979
62_0083,204,2020-09-14,cyclopoid,12.72472467
62_0083,204,2020-06-29,cyclopoid,1.062679054
62_0225,201,2020-04-15,cyclopoid,18.25065575
62_0225,201,2020-05-05,cyclopoid,6.58175414
62_0225,201,2020-05-20,cyclopoid,12.32936236
62_0225,201,2020-06-11,cyclopoid,1.919678291
62_0225,201,2020-07-01,cyclopoid,82.27192675
62_0225,201,2020-07-23,cyclopoid,39.10658918
62_0225,201,2020-08-06,cyclopoid,28.38381473
62_0225,201,2020-08-26,cyclopoid,36.56530078
62_0225,201,2020-09-11,cyclopoid,13.71198779
62_0225,201,2020-10-09,cyclopoid,6.170394506
62_0231,201,2020-04-13,cyclopoid,5.503077767
62_0231,201,2020-05-04,cyclopoid,154.8028574
62_0231,201,2020-05-18,cyclopoid,62.01475012
62_0231,201,2020-06-10,cyclopoid,20.48570976
62_0231,201,2020-06-26,cyclopoid,9.598391454
62_0231,201,2020-07-17,cyclopoid,12.72746707
62_0231,201,2020-08-05,cyclopoid,12.61502877
62_0231,201,2020-08-20,cyclopoid,4.456396032
62_0231,201,2020-09-10,cyclopoid,4.387836093
62_0231,201,2020-10-08,cyclopoid,2.331037925
82_0167,234,2020-05-14,cyclopoid,3.11490656
82_0167,234,2020-06-08,cyclopoid,1.335428376
82_0167,234,2020-06-24,cyclopoid,1.34139011
82_0167,234,2020-07-16,cyclopoid,0.714451697
82_0167,234,2020-07-31,cyclopoid,4.418307177
82_0167,234,2020-08-21,cyclopoid,2.262477986
82_0167,234,2020-09-04,cyclopoid,2.301655094
82_0167,234,2020-09-23,cyclopoid,1.199798932
02_0003,204,2020-05-13,calanoid,3.702236704
02_0003,204,2020-06-04,calanoid,7.130233652
02_0003,204,2020-06-25,calanoid,1.930647881
02_0003,204,2020-07-15,calanoid,6.718874018
02_0003,204,2020-07-31,calanoid,14.16905405
02_0003,204,2020-08-18,calanoid,7.157657627
02_0003,204,2020-09-04,calanoid,3.97647646
02_0003,204,2020-09-24,calanoid,4.524955971
62_0002,207,2020-05-13,calanoid,3.910658918
62_0002,207,2020-06-04,calanoid,7.404473408
62_0002,207,2020-06-24,calanoid,8.830520138
62_0002,207,2020-07-15,calanoid,5.434517828
62_0002,207,2020-07-31,calanoid,13.16350828
62_0002,207,2020-08-18,calanoid,4.113596338
62_0002,207,2020-09-04,calanoid,3.90029875
62_0002,207,2020-09-24,calanoid,2.056798169
62_0047,201,2020-04-15,calanoid,0
62_0047,201,2020-05-05,calanoid,0
62_0047,201,2020-05-20,calanoid,0.087413922
62_0047,201,2020-06-11,calanoid,1.727710462
62_0047,201,2020-07-01,calanoid,0
62_0047,201,2020-07-23,calanoid,0
62_0047,201,2020-08-06,calanoid,0.617039451
62_0047,201,2020-08-26,calanoid,0.365653008
62_0047,201,2020-09-11,calanoid,0
62_0047,201,2020-10-09,calanoid,0.479919573
62_0054,101,2020-07-17,calanoid,8.857944114
62_0054,101,2020-04-13,calanoid,0.519341538
62_0054,101,2020-05-04,calanoid,1.30263884
62_0054,101,2020-05-18,calanoid,2.629273659
62_0054,101,2020-06-10,calanoid,11.94901793
62_0054,101,2020-06-25,calanoid,3.770796643
62_0054,101,2020-08-05,calanoid,13.16350828
62_0054,101,2020-08-20,calanoid,11.32610192
62_0054,101,2020-09-10,calanoid,1.253667455
62_0054,101,2020-10-08,calanoid,1.919678291
62_0055,201,2020-04-10,calanoid,1.332021671
62_0055,201,2020-05-01,calanoid,0.40450364
62_0055,201,2020-05-17,calanoid,1.604302572
62_0055,201,2020-05-21,calanoid,0
62_0055,201,2020-05-26,calanoid,0.548479512
62_0055,201,2020-06-26,calanoid,10.94216626
62_0055,201,2020-07-14,calanoid,15.94508295
62_0055,201,2020-08-03,calanoid,18.33488653
62_0055,201,2020-08-20,calanoid,13.98622755
62_0055,201,2020-09-06,calanoid,5.641503549
62_0055,201,2020-09-09,calanoid,10.02933964
62_0055,201,2020-10-05,calanoid,2.056798169
62_0055,201,2020-10-23,calanoid,6.216101132
62_0057,401,2020-05-07,calanoid,9.187031821
62_0057,401,2020-06-02,calanoid,29.87646254
62_0057,401,2020-06-15,calanoid,14.41717574
62_0057,401,2020-07-02,calanoid,16.79718505
62_0057,401,2020-07-22,calanoid,8.556280382
62_0057,401,2020-08-07,calanoid,5.941861377
62_0057,401,2020-08-27,calanoid,9.598391454
62_0057,401,2020-09-17,calanoid,4.113596338
62_0061,208,2020-05-08,calanoid,3.314383335
62_0061,208,2020-05-28,calanoid,3.208605143
62_0061,208,2020-06-16,calanoid,2.285331299
62_0061,208,2020-07-06,calanoid,12.76977835
62_0061,208,2020-07-24,calanoid,1.762969859
62_0061,208,2020-08-12,calanoid,2.742397558
62_0061,208,2020-09-02,calanoid,3.525939718
62_0061,208,2020-09-15,calanoid,7.404473408
62_0067,202,2020-05-27,calanoid,4.801154583
62_0067,202,2020-06-12,calanoid,10.72277445
62_0067,202,2020-06-29,calanoid,17.09062158
62_0067,202,2020-07-21,calanoid,17.10433357
62_0067,202,2020-08-10,calanoid,5.713328247
62_0067,202,2020-08-22,calanoid,8.230620672
62_0067,202,2020-09-17,calanoid,8.227192675
62_0067,202,2020-05-06,calanoid,2.742397558
62_0075,202,2020-05-08,calanoid,33.0184666
62_0075,202,2020-05-28,calanoid,12.67673271
62_0075,202,2020-06-16,calanoid,12.11454121
62_0075,202,2020-07-06,calanoid,20.97934132
62_0075,202,2020-07-24,calanoid,13.71198779
62_0075,202,2020-08-12,calanoid,8.227192675
62_0075,202,2020-09-02,calanoid,3.839356582
62_0075,202,2020-09-15,calanoid,9.87263121
62_0078,101,2020-05-06,calanoid,1.508318657
62_0078,101,2020-05-27,calanoid,2.388932984
62_0078,101,2020-06-15,calanoid,2.398618436
62_0078,101,2020-07-02,calanoid,1.974526242
62_0078,101,2020-07-22,calanoid,8.956670426
62_0078,101,2020-08-07,calanoid,2.056798169
62_0078,101,2020-08-27,calanoid,6.252666433
62_0078,101,2020-09-17,calanoid,10.38193361
62_0083,204,2020-05-06,calanoid,0.493631561
62_0083,204,2020-05-27,calanoid,6.773721969
62_0083,204,2020-06-12,calanoid,8.912792065
62_0083,204,2020-07-21,calanoid,5.119142109
62_0083,204,2020-08-10,calanoid,3.199463818
62_0083,204,2020-08-24,calanoid,2.468157803
62_0083,204,2020-09-14,calanoid,2.852093461
62_0083,204,2020-06-29,calanoid,3.613108783
62_0225,201,2020-04-15,calanoid,0
62_0225,201,2020-05-05,calanoid,0
62_0225,201,2020-05-20,calanoid,0
62_0225,201,2020-06-11,calanoid,0.071987936
62_0225,201,2020-07-01,calanoid,1.096959023
62_0225,201,2020-07-23,calanoid,2.523005754
62_0225,201,2020-08-06,calanoid,4.113596338
62_0225,201,2020-08-26,calanoid,31.99463818
62_0225,201,2020-09-11,calanoid,20.91078138
62_0225,201,2020-10-09,calanoid,3.702236704
62_0231,201,2020-04-13,calanoid,0.196538492
62_0231,201,2020-05-04,calanoid,0
62_0231,201,2020-05-18,calanoid,1.695715824
62_0231,201,2020-06-10,calanoid,8.391736529
62_0231,201,2020-06-26,calanoid,3.565116826
62_0231,201,2020-07-17,calanoid,11.47967618
62_0231,201,2020-08-05,calanoid,2.193918047
62_0231,201,2020-08-20,calanoid,7.198793591
62_0231,201,2020-09-10,calanoid,1.371198779
62_0231,201,2020-10-08,calanoid,0.274239756
82_0167,234,2020-05-14,calanoid,0.662746077
82_0167,234,2020-06-08,calanoid,1.210231966
82_0167,234,2020-06-24,calanoid,0.536556044
82_0167,234,2020-07-16,calanoid,0.08198626
82_0167,234,2020-07-31,calanoid,0.60942168
82_0167,234,2020-08-21,calanoid,1.508318657
82_0167,234,2020-09-04,calanoid,0.78354216
82_0167,234,2020-09-23,calanoid,0.171399847
02_0003,204,2020-05-13,naupli,14.80894682
02_0003,204,2020-06-04,naupli,14.43872314
02_0003,204,2020-06-25,naupli,26.54640837
02_0003,204,2020-07-15,naupli,50.87147471
02_0003,204,2020-07-31,naupli,5.027728857
02_0003,204,2020-08-18,naupli,5.923578726
02_0003,204,2020-09-04,naupli,14.2604673
02_0003,204,2020-09-24,naupli,2.262477986
62_0002,207,2020-05-13,naupli,10.59662417
62_0002,207,2020-06-04,naupli,19.5395826
62_0002,207,2020-06-24,naupli,27.75306329
62_0002,207,2020-07-15,naupli,15.74136199
62_0002,207,2020-07-31,naupli,3.839356582
62_0002,207,2020-08-18,naupli,1.066487939
62_0002,207,2020-09-04,naupli,1.462612031
62_0002,207,2020-09-24,naupli,0.731306016
62_0047,201,2020-04-15,naupli,12.40173118
62_0047,201,2020-05-05,naupli,33.15253937
62_0047,201,2020-05-20,naupli,45.89230914
