DNR_ID,site,date,sizeRange,percent
62-0055,201,2019-10-24T00:00:00Z,0_33,51.515151515151516
62-0054,101,2019-10-08T00:00:00Z,0_33,0
62-0055,201,2019-10-08T00:00:00Z,0_33,25
62-0231,201,2019-10-08T00:00:00Z,0_33,83.33333333333334
62-0047,201,2019-10-07T00:00:00Z,0_33,12.5
62-0225,201,2019-10-07T00:00:00Z,0_33,50
82-0167,234,2019-09-27T00:00:00Z,0_33,8.823529411764707
02-0003,204,2019-09-26T00:00:00Z,0_33,81.25
62-0002,207,2019-09-26T00:00:00Z,0_33,29.629629629629626
62-0061,208,2019-09-23T00:00:00Z,0_33,0
62-0075,202,2019-09-23T00:00:00Z,0_33,66.66666666666666
62-0057,401,2019-09-19T00:00:00Z,0_33,15.517241379310345
62-0078,101,2019-09-19T00:00:00Z,0_33,11.76470588235294
62-0083,204,2019-09-18T00:00:00Z,0_33,0
62-0047,201,2019-09-17T00:00:00Z,0_33,70
62-0225,201,2019-09-17T00:00:00Z,0_33,0
82-0167,234,2019-09-16T00:00:00Z,0_33,0
62-0055,201,2019-09-13T00:00:00Z,0_33,0
62-0067,202,2019-09-13T00:00:00Z,0_33,9.090909090909092
62-0054,101,2019-09-12T00:00:00Z,0_33,22.22222222222222
62-0231,201,2019-09-12T00:00:00Z,0_33,27.77777777777778
02-0003,204,2019-09-11T00:00:00Z,0_33,100
62-0002,207,2019-09-11T00:00:00Z,0_33,50
62-0061,208,2019-09-06T00:00:00Z,0_33,0
62-0075,202,2019-09-06T00:00:00Z,0_33,0
62-0067,202,2019-09-04T00:00:00Z,0_33,0
62-0083,204,2019-09-04T00:00:00Z,0_33,0
62-0047,201,2019-09-03T00:00:00Z,0_33,0
62-0225,201,2019-09-03T00:00:00Z,0_33,0
62-0054,101,2019-08-30T00:00:00Z,0_33,0
62-0057,401,2019-08-30T00:00:00Z,0_33,25
62-0078,101,2019-08-30T00:00:00Z,0_33,27.083333333333332
62-0055,201,2019-08-27T00:00:00Z,0_33,0
62-0231,201,2019-08-27T00:00:00Z,0_33,65.97938144329896
82-0167,234,2019-08-23T00:00:00Z,0_33,10.16949152542373
02-0003,204,2019-08-22T00:00:00Z,0_33,0
62-0002,207,2019-08-22T00:00:00Z,0_33,37.719298245614034
62-0061,208,2019-08-19T00:00:00Z,0_33,41.66666666666667
62-0075,202,2019-08-19T00:00:00Z,0_33,0
62-0047,201,2019-08-06T00:00:00Z,0_33,42.857142857142854
62-0225,201,2019-08-06T00:00:00Z,0_33,0
62-0083,204,2019-08-05T00:00:00Z,0_33,0
62-0057,401,2019-08-02T00:00:00Z,0_33,0
62-0067,202,2019-08-02T00:00:00Z,0_33,2.941176470588235
62-0078,101,2019-08-02T00:00:00Z,0_33,100
62-0054,101,2019-08-01T00:00:00Z,0_33,3.0303030303030303
62-0231,201,2019-08-01T00:00:00Z,0_33,70.58823529411765
62-0055,201,2019-07-30T00:00:00Z,0_33,0
02-0003,204,2019-07-29T00:00:00Z,0_33,0
62-0002,207,2019-07-29T00:00:00Z,0_33,48.717948717948715
82-0167,234,2019-07-26T00:00:00Z,0_33,2.898550724637681
62-0061,208,2019-07-23T00:00:00Z,0_33,0
62-0075,202,2019-07-23T00:00:00Z,0_33,80
62-0057,401,2019-07-19T00:00:00Z,0_33,14.814814814814813
62-0078,101,2019-07-19T00:00:00Z,0_33,0
62-0054,101,2019-07-18T00:00:00Z,0_33,5.714285714285714
62-0231,201,2019-07-18T00:00:00Z,0_33,33.82352941176471
62-0047,201,2019-07-17T00:00:00Z,0_33,100
62-0225,201,2019-07-17T00:00:00Z,0_33,0
62-0067,202,2019-07-16T00:00:00Z,0_33,7.352941176470589
62-0083,204,2019-07-16T00:00:00Z,0_33,31.57894736842105
62-0055,201,2019-07-15T00:00:00Z,0_33,0
