DNR_ID,site,date,species,group,value,units,planktonType
62_0055,201,2019-10-24,ankistrodesmus,cyanophyta (blue-green),584.923361,no/mL,phytoplankton
62_0055,201,2019-10-24,crucigenia,cyanophyta (blue-green),250.6814404,no/mL,phytoplankton
62_0055,201,2019-10-24,cryptomonas,cyanophyta (blue-green),2089.012004,no/mL,phytoplankton
62_0055,201,2019-10-24,haemetococcus,chlorophyta (green),41.78024007,no/mL,phytoplankton
62_0055,201,2019-10-24,microcystis,chlorophyta (green),125.3407202,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,NaN,NaN,0,no/mL,phytoplankton
62_0055,201,2019-10-24,scenedesmus,chlorophyta (green),208.9012004,no/mL,phytoplankton
62_0055,201,2019-10-24,staurastrum,chlorophyta (green),41.78024007,no/mL,phytoplankton
62_0055,201,2019-10-24,bosmina,,12.94411648,thou/m3,zooplankton
62_0055,201,2019-10-24,calanoid,,7.020537749,thou/m3,zooplankton
62_0055,201,2019-10-24,ceriodaphnia,,0,thou/m3,zooplankton
62_0055,201,2019-10-24,chydorus,,12.50533287,thou/m3,zooplankton
62_0055,201,2019-10-24,cyclopoid,,1.755134437,thou/m3,zooplankton
62_0055,201,2019-10-24,daphnia,,7.239929554,thou/m3,zooplankton
62_0055,201,2019-10-24,diaphnosoma,,0,thou/m3,zooplankton
